window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,26,3.420809503640296,21,3.4129147876296386
1,26,3.420426070128469,23,3.4133821137750635
2,29,3.4180973898137452,25,3.4124673432759662
3,24,3.419093514644194,23,3.4123721965695153
4,26,3.4269178327145937,22,3.4198409374431122
5,28,3.4196948972756482,22,3.4102958080341312
6,26,3.436316119520399,21,3.426299918347961
7,27,3.4155743557776757,27,3.4123250102623004
8,29,3.4263812345003912,22,3.4180208213152077
9,24,3.4219856130463375,20,3.41294831531243
10,27,3.4359766459413867,22,3.4246417594866405
11,26,3.420794501311522,22,3.41498220209661
12,26,3.4192460749316966,22,3.4119363991398592
13,25,3.4263597691713237,21,3.417327278973991
14,23,3.4177014580316496,21,3.411864514913153
