window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,27,3.416792176458235,23,3.4101926548708845
1,24,3.4008914396137806,20,3.396487583866492
2,25,3.415050451035069,21,3.4068445797134057
3,24,3.4048220564324403,20,3.4002056573768296
4,26,3.410928324631276,24,3.4068702330933114
5,25,3.4214248276180506,22,3.411808382654421
6,26,3.4273478013147436,20,3.4187620635405547
7,27,3.422512662063723,23,3.4173549140649953
8,22,3.4268872523915612,20,3.4196201982884316
9,27,3.4337704538602303,23,3.425727295090947
10,23,3.4155305733872035,20,3.4083360721968745
11,25,3.4286935483544645,24,3.421884434528807
12,25,3.425703189226294,25,3.4173074703074593
13,27,3.409297545283212,21,3.40093993813832
14,24,3.438391005142083,22,3.428280559055056
