window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,28,3.419898994199211,22,3.412209183394227
1,27,3.4171096105612233,24,3.4124010929585635
2,22,3.4177330249974545,21,3.4097986786859775
3,24,3.433498338684527,21,3.423573339333297
4,25,3.4297897407346833,22,3.4193074657849474
5,24,3.4073430856700475,19,3.401484940340498
6,27,3.4321717921957133,23,3.4252395816880097
7,24,3.4263601635394045,21,3.4180917935278057
8,23,3.406538958370424,20,3.4001715387123217
9,25,3.4149775486714393,19,3.4068815398628955
10,28,3.429894567982261,22,3.4192094381070093
11,28,3.443560018430764,25,3.4375817531718664
12,27,3.4326693859699935,22,3.424213291988782
13,26,3.427189398546716,22,3.4192024780479495
14,23,3.404503904511772,22,3.402072554335425
