window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,10,3.217991187808789,10,3.258262870746453
1,11,3.23345746505326,11,3.283635174392093
2,10,3.243363491455872,10,3.171849042996414
3,11,3.327588631132727,11,3.2982037883089173
4,10,3.196694546269774,10,3.249935207031692
5,11,3.3360723845293623,11,3.298099090185778
6,11,3.2824294266046206,11,3.3327619703796367
7,11,3.1409011029381553,11,3.176681081438814
8,11,3.3156939304695685,11,3.2922892500428085
9,11,3.2821452388218604,11,3.2497766161487753
10,10,3.2443498042656325,10,3.2736690229585017
11,11,3.343607235301693,11,3.2226537753230016
12,13,3.358418461806594,13,3.409903396794067
13,10,3.201158222957849,10,3.2962602140291795
14,10,3.2424782706633435,10,3.270642549090973
