window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,12,3.313301703797621,12,3.2654245096244514
1,10,3.274060410064,10,3.2118340369517178
2,10,3.2752868342651236,10,3.2184481990452283
3,11,3.3353004703650786,11,3.306160741331831
4,11,3.2993255143869016,11,3.23389505512174
5,12,3.343320546317891,12,3.257097068274186
6,10,3.0917852170093796,10,3.2762075229439436
7,10,3.2085858744074414,10,3.25617888079785
8,11,3.304214665851051,11,3.2676363753108864
9,11,3.306160741331831,11,3.283877786983055
10,11,3.2694786239944182,11,3.341024658924853
11,10,3.2411277290952567,10,3.219431139329498
12,11,3.2489963431373776,11,3.274122661668007
13,10,3.245332744549902,10,3.282122061210053
14,11,3.335567974434879,11,3.285803926398985
