window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,20,3.412702970289778,18,3.405916377375667
1,25,3.431016268223817,22,3.4245331661799203
2,25,3.412433688064713,20,3.406840850528556
3,25,3.433628568521671,24,3.428506971021958
4,25,3.4322949730795633,22,3.423542233775221
5,24,3.42722808698978,23,3.421037439317056
6,25,3.4102419325527378,21,3.40468835165439
7,24,3.4250716920564934,24,3.4187437949834134
8,25,3.420716516387986,22,3.41338637237822
9,26,3.4229454188789172,23,3.415475740297507
10,26,3.424448770840658,25,3.4176695944819326
11,27,3.4260435540255245,25,3.422711572587097
12,26,3.4211734776431406,22,3.4154051788283675
13,27,3.441592199963338,24,3.4326237204028276
14,28,3.4275646820903205,21,3.41571544920914
