window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,24,3.4232984923369205,23,3.418171877920421
1,26,3.4272628124552353,22,3.419442853393938
2,28,3.4241009472455533,22,3.4187896020928115
3,29,3.446748039975646,24,3.4356757588818274
4,23,3.421418519920786,21,3.415697063336074
5,23,3.4209522245609763,22,3.4150640077171843
6,27,3.4465587556415285,24,3.4366419928392093
7,29,3.444051284917108,21,3.4310683933794612
8,26,3.428556122433958,21,3.4201323187666977
9,25,3.4239309156907747,20,3.4131254532898483
10,25,3.4208778113650706,22,3.4126108146173912
11,26,3.4263173095661776,25,3.419866135736355
12,25,3.442129720057177,25,3.4353512320366795
13,25,3.4127108428730564,20,3.404081510202269
14,27,3.4363739772915713,26,3.4300682823136537
