src_ip,dst_ip,src_port,dst_port,outbound_byte_ratio,duration,packets_per_second,total_packets,total_bytes,packet_size_avg,packet_size_std,proto_TCP,proto_UDP,proto_ICMP,proto_other,window_id
59.166.0.7,149.171.126.6,56626,25,0.083272,0.421994410059375,5.19322136590303,4.553876891600541,10.61130164613947,6.070295392311192,6.259879291602824,1,0,0,0,0
59.166.0.0,149.171.126.4,55962,21,0.5846,0.7299611536826616,4.492808474611068,4.564348191467836,8.69751274553952,4.159211982391455,0.0,1,0,0,0,0
59.166.0.7,149.171.126.9,54695,21,0.588094,0.5050087384444258,4.125242289709523,3.713572066704308,7.825644732219989,4.152220311308184,0.0,1,0,0,0,0
59.166.0.6,149.171.126.1,28046,80,0.857914,0.7405077519197829,3.4068634657137804,3.49650756146648,9.3803362790795,5.917212333782771,6.128884723601532,1,0,0,0,0
59.166.0.6,149.171.126.4,41504,6881,0.516332,0.0129162252665463,7.869548725852677,3.555348061489413,8.066207568006263,4.55015480480068,4.6453588632052725,1,0,0,0,0
59.166.0.4,149.171.126.9,12310,36291,0.954152,0.2004888607494035,4.511849016790043,3.044522437723423,9.13227071655426,6.138590611998276,6.315720270433907,1,0,0,0,0
59.166.0.0,149.171.126.9,53991,53,0.549383,0.0009995003330835,8.294299608857235,1.6094379124341005,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.5,149.171.126.4,37596,62821,0.855986,0.0459289318883998,5.70001652569706,2.70805020110221,7.706612913964197,5.07338650644864,5.510799013220489,1,0,0,0,0
59.166.0.8,149.171.126.6,52395,6881,0.957735,0.1239859797809912,6.689636958767212,4.672828834461906,11.120993371144648,6.459106900108936,6.350754509154524,1,0,0,0,0
59.166.0.4,149.171.126.1,58493,65332,0.382793,0.0069756137364252,8.54555849395328,3.610917912644224,8.766705997750515,5.188626499549064,5.104186788926418,1,0,0,0,0
59.166.0.1,149.171.126.4,5793,53,0.549383,0.0009995003330835,8.294299608857235,1.6094379124341005,5.783825182329737,4.406719247264253,0.0,0,1,0,0,0
59.166.0.7,149.171.126.8,63419,16607,0.882513,0.0168571170664229,8.378836731367903,4.31748811353631,9.896815342768065,5.596417948606544,6.096104336354914,1,0,0,0,0
59.166.0.7,149.171.126.3,39822,44463,0.856244,0.0039920212695374,8.160803920954665,2.70805020110221,7.708410667257367,5.075173815233827,5.510799013220489,1,0,0,0,0
