window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,11,3.327238819219026,11,3.312954393084962
1,10,3.271584161684007,9,3.1090651543667676
2,11,3.3411734334393897,11,3.349480198376004
3,11,3.252940756983564,11,3.2922892500428085
4,13,3.3789663667945757,12,3.338431394853741
5,11,3.2544283436177164,11,3.2719523711748124
6,12,3.3374707608568306,12,3.3853454538304004
7,12,3.3891128792165652,11,3.298753766295891
8,11,3.313017516016303,12,3.2838777869816127
9,10,3.177690419599748,10,3.1355167375727016
10,12,3.3247393932243403,12,3.317799468156272
11,11,3.181155668184214,11,3.3558799618240367
12,10,3.255257320793138,10,3.261702031958461
13,10,3.171141881637179,10,3.2857822872734794
14,11,3.3105387739483723,11,3.283707095146104
