window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,12,3.342748798226879,12,3.4078319467779394
1,11,3.317092306798479,11,3.2978355788166693
2,12,3.3439120994966616,12,3.268013145922937
3,10,3.23375714065536,10,3.161543939694392
4,11,3.2260137649612,11,3.3353004703650786
5,11,3.265753645125943,11,3.217221774842662
6,10,3.2427710669512093,10,3.2168278865390065
7,11,3.270642796590093,11,3.3188248549596735
8,10,3.2545585682916287,10,3.276802448648206
9,13,3.3716034681500324,12,3.316677742078287
10,11,3.3224875822226996,11,3.3105205912226587
11,11,3.3086808437387254,11,3.235757980218924
12,10,3.1481601747868933,10,3.204163772911164
13,10,3.222287914768276,10,3.220882000907531
14,10,3.219096343772623,10,3.2204651803986546
