window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,z_qubit_4,z_qubit_5,z_qubit_6,z_qubit_7,z_qubit_8,z_qubit_9,s_rho,trace_distance,s_entanglement
0,27,3.423027261676162,25,3.416970571898355,0.1057605760576057,0.2449184388795906,8.522486372628636,6.849434224224528,0.6425853457845784,5.050494366879425,-0.2892246363282084,-0.19288653196053201,0.4751592091211683,-0.09096539752168764,0.3611693708367475,-0.6010372014196355,-0.002504969706763457,0.06875522703741382,-0.07859665490890833,-0.3707538118264736,3.423027261715112,0.21048251657101014,0.5087062888683918
1,23,3.4070678718972878,21,3.400501858277391,0.1074107410741074,0.2397523745338037,8.518896790314495,6.842879301547009,0.6403459446444645,5.054628216119659,-0.2842019565155783,-0.18201062882851135,0.47508635601030746,-0.10175742155867619,0.36148725251672303,-0.6088909878894434,0.10522449912800289,0.013452967193572862,-0.13473087921152116,-0.3715443646322728,3.407067871930468,0.2540882286251395,0.4844764401249514
2,35,3.8244873583679215,23,3.609945831650407,0.0942094209420942,0.239832576321942,8.031872025789847,6.454329266517928,0.637670940661811,5.053940783476506,-0.2699444611035013,-0.15920149022679833,0.5197856637737102,0.2346173657990092,0.25509652760527946,-0.6076988191681293,-0.1258801589200475,0.14141955242366713,-0.04265199212209926,-0.39454389121747346,3.8244873584184127,0.8302965905488098,0.4674407634985141
3,24,3.4276281596305926,22,3.4211075525210357,0.1027602760276027,0.2250055166274937,8.493764482056177,6.876065890196714,0.6421887172217221,5.0460647136051975,-0.28483604470138413,-0.17968094203949445,0.46826496557151404,-0.0966174526792852,0.35060743565431635,-0.6110869074254234,0.07187801405059821,0.007312651408321167,-0.1449898257585514,-0.3803171523787537,3.427628159665215,0.18314231438122847,0.4751241372242058
4,26,3.4371536692463627,26,3.428018646919952,0.1057605760576057,0.2365737457052577,8.524273363639445,6.85507439087957,0.6426881065106511,5.056053127791203,-0.2811115631980608,-0.16784425536731226,0.4518536108197877,-0.16333973225500736,0.37122665797892185,-0.6072143826239496,0.036116975992248876,0.05780165390539081,-0.11218849260270823,-0.3812720516209461,3.43715366928387,0.16377933966254635,0.4890836201419659
5,23,3.4180419616502187,22,3.410762522745684,0.1068106810681068,0.2426686644630615,8.527315372594911,6.825608329387501,0.6406918057305732,5.045575671683258,-0.28919345199078306,-0.17470284496205607,0.456626194235764,-0.154462505608775,0.36654663099108975,-0.6074295876760883,0.1069668850615819,0.017422165222966583,-0.1341789388428535,-0.3700875661271762,3.4180419616833984,0.25013700254087734,0.49291511109647945
6,32,3.938725597370712,21,3.6162287560113673,0.0969096909690969,0.2582677029994369,7.856940080681466,6.224391145782519,0.6450710434810144,5.085468178194318,-0.2773682139619867,-0.16428952262798188,0.5229272330397149,0.23979935562536892,0.250678701446312,-0.6076867772458979,-0.10038012932702205,0.1313022807487751,-0.04942725008814312,-0.3923107891217188,3.938725597416875,0.5655889682737002,0.47001990582421227
7,29,3.4347016134639325,24,3.425564894846488,0.1045604560456045,0.238715226575212,8.520424191650056,6.860482608777581,0.642208603360336,5.0517441570715125,-0.26726353276238984,-0.18085518905562947,0.49708020872833747,-0.0009520738608829776,0.3376559293725863,-0.6118882245386507,-0.02845556625335856,0.05886886029480326,-0.11405198047164766,-0.39292209127433314,3.4347016135057675,0.38424089225878866,0.46246943163602977
8,29,3.434386351695325,23,3.423267879873733,0.1047104710471047,0.2310496943007226,8.509165417794616,6.876949150868047,0.6467619702970298,5.047444240349274,-0.2662593497242403,-0.18110155699379776,0.5087379733894828,0.04375101022995753,0.334169138675899,-0.6095723069792308,-0.02575166108451443,0.07203902504517734,-0.10527596224056404,-0.3910335044538413,3.434386351737159,0.3871022782326168,0.467815288325165
9,27,3.4364655524333383,25,3.4277154625906445,0.1068106810681068,0.2533783800080819,8.570503523531213,6.803640786240623,0.6414178105310532,5.070121601691982,-0.2769143674549804,-0.17140647473354587,0.46108576979132226,-0.12886727823906236,0.3668047744985555,-0.6086882149374915,0.011761969583306827,0.0575649381303923,-0.11343329963451043,-0.38672948834755017,3.4364655524722876,0.21607684472761257,0.47820971290018643
