window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,99,4.593256276230074,31,4.068533085014056
1,27,3.4303806734676208,27,3.4255894243919753
2,27,3.428368932974871,24,3.4213791865207472
3,24,3.4245639445482015,22,3.4185039809019107
4,24,3.417411727249987,22,3.4140540351916044
5,26,3.4282015244433315,23,3.4194194026958624
6,25,3.444750511920408,25,3.435883382922146
7,24,3.426827121246327,23,3.4178801715284246
8,25,3.419282736678015,23,3.4123466645118548
9,24,3.4278350529500523,22,3.4197892172532622
10,100,4.470631542382891,33,4.019238786432508
11,24,3.42704760774798,24,3.423511884869069
12,24,3.4193274076394418,23,3.413810604918707
13,27,3.4240056873546645,22,3.416611948200722
14,22,3.4155139507104617,19,3.407946737587322
