src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.8,149.171.126.3,40705,6881,TCP,0.516332,0.017,2000.0,187294.117647,0.0,1.0,34,3184,93.647059,103.100717,0,Benign,normal,train,5,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.3,54441,21,TCP,0.580273,1.998,34.034034,2166.666667,54.485294,99.962418,68,4329,63.661765,0.0,0,Benign,normal,train,5,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.0,54953,21,TCP,0.609261,0.003,6666.666667,410333.333333,0.0,0.0,20,1231,61.55,0.0,0,Benign,normal,train,5,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.5,11032,5190,TCP,0.669095,0.797,42.659975,4823.086575,49.176471,89.73178,34,3844,113.058824,166.500475,0,Benign,normal,train,5,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.3,3023,80,TCP,0.857914,1.018,31.434185,11642.436149,69.6875,254.485441,32,11852,370.375,457.924048,0,Benign,normal,train,5,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.5,23519,6881,TCP,0.977444,5.643,231.7916,198485.202906,9.93578,195.739882,1308,1120052,856.308869,581.585979,0,Benign,normal,train,5,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.2,19013,21,TCP,0.57545,0.034,2588.235294,165088.235294,0.0,1.0,88,5613,63.784091,0.0,0,Benign,normal,train,5,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.7,43552,21,TCP,0.577641,0.604,125.827815,8071.192053,16.486842,41.0928,76,4875,64.144737,0.0,0,Benign,normal,train,5,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.2,46668,21,TCP,0.577641,0.583,130.360206,8361.921098,12.486842,39.102932,76,4875,64.144737,0.0,0,Benign,normal,train,5,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.1,20438,17961,TCP,0.870735,0.01,7400.0,1805600.0,0.0,0.0,74,18056,244.0,411.105357,0,Benign,normal,train,5,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.9,41490,6881,TCP,0.969839,4.534,50.727834,38362.152625,45.6,380.999391,230,173934,756.234783,587.012754,0,Benign,normal,train,5,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.1,10543,42997,TCP,0.911261,0.054,1666.666667,577222.222222,0.511111,1.117979,90,31170,346.333333,500.96635,0,Benign,normal,train,5,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.3,50603,50638,TCP,0.929539,0.032,3562.5,1503500.0,0.0,0.0,114,48112,422.035088,541.457172,0,Benign,normal,train,5,12,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.3,24776,80,TCP,0.857914,1.007,31.777557,11769.612711,69.125,253.063079,32,11852,370.375,457.924048,0,Benign,normal,train,5,13,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.2,55217,80,TCP,0.865509,1.047,28.653295,11220.630372,81.4,266.940892,30,11748,391.6,466.754754,0,Benign,normal,train,5,14,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.2,60261,21,TCP,0.5846,2.979,31.889896,2009.73481,60.052632,132.82318,95,5987,63.021053,0.0,0,Benign,normal,train,5,15,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.2,35832,12360,TCP,0.900713,0.015,5733.333333,1776666.666667,0.0,0.0,86,26650,309.883721,467.839817,0,Benign,normal,train,5,16,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.5,37381,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,normal,train,5,17,0,,,NF-UNSW-NB15-v3-Benign
149.171.126.18,175.45.176.3,1043,53,UDP,0.0,0.001,1000.0,132000.0,0.0,0.0,1,132,132.0,0.0,0,Benign,normal,train,5,18,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.5,64105,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,19,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.0,5422,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,normal,train,5,20,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.0,32807,50936,TCP,0.381566,0.378,153.439153,21354.497354,12.517241,21.005944,58,8072,139.172414,223.973998,0,Benign,normal,train,5,21,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.1,54901,5190,TCP,0.679904,0.006,4000.0,554000.0,0.0,0.0,24,3324,138.5,194.575321,0,Benign,normal,train,5,22,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.2,23105,9032,UDP,0.365385,0.001,8000.0,832000.0,0.0,0.0,8,832,104.0,55.425626,0,Benign,normal,train,5,23,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.2,4845,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,24,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.3,29047,21,TCP,0.609261,0.014,1428.571429,87928.571429,0.0,1.341641,20,1231,61.55,0.0,0,Benign,normal,train,5,25,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.8,32657,111,UDP,0.354545,0.004,2000.0,220000.0,1.0,1.0,8,880,110.0,64.0,0,Benign,normal,train,5,26,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.0,8673,143,TCP,0.677784,0.036,6888.888889,672944.444444,0.0,0.0,248,24226,97.685484,145.679913,0,Benign,normal,train,5,27,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.2,21582,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,28,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.3,44742,21,TCP,0.642466,0.629,19.077901,1160.572337,78.166667,143.764758,12,730,60.833333,0.0,0,Benign,normal,train,5,29,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.5,2893,21,TCP,0.955446,0.044,90.909091,4590.909091,7.25,12.745097,4,202,50.5,0.0,0,Benign,normal,train,5,30,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.2,24867,58835,TCP,0.8734,0.011,6727.272727,1676000.0,0.0,0.0,74,18436,249.135135,411.800373,0,Benign,normal,train,5,31,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.2,57917,21,TCP,0.609261,0.017,1176.470588,72411.764706,0.45,1.611676,20,1231,61.55,0.0,0,Benign,normal,train,5,32,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.0,61108,111,UDP,0.36036,0.066,121.212121,13454.545455,18.5,26.846788,8,888,111.0,64.0,0,Benign,normal,train,5,33,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.0,52188,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,normal,train,5,34,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.7,51526,25,TCP,0.083309,0.46,204.347826,88200.0,9.106383,23.727383,94,40572,431.617021,522.155787,0,Benign,normal,train,5,35,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.4,7291,6881,TCP,0.516332,0.019,1789.473684,167578.947368,0.529412,1.68445,34,3184,93.647059,103.100717,0,Benign,normal,train,5,36,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.6,14715,5190,TCP,0.669095,0.173,196.531792,22219.653179,10.058824,18.562995,34,3844,113.058824,166.500475,0,Benign,normal,train,5,37,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.0,37225,35178,TCP,0.943552,0.127,1338.582677,678204.724409,1.0,2.0,170,86132,506.658824,575.850958,0,Benign,normal,train,5,38,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.3,4616,2667,TCP,0.91219,0.026,3615.384615,1250076.923077,0.0,0.699544,94,32502,345.765957,491.782932,0,Benign,normal,train,5,39,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.7,15886,21,TCP,0.583139,0.008,6000.0,375125.0,0.0,0.0,48,3001,62.520833,0.0,0,Benign,normal,train,5,40,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.0,14324,21,TCP,0.583417,0.426,112.676056,7049.295775,42.958333,132.449748,48,3003,62.5625,0.0,0,Benign,normal,train,5,41,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.0,4135,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,42,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.4,34270,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,43,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.6,13444,21,TCP,0.955446,0.011,363.636364,18363.636364,9.0,18.083141,4,202,50.5,0.0,0,Benign,normal,train,5,44,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.2,20243,6881,TCP,0.976408,3.169,210.792048,177173.24077,10.58982,114.487727,668,561462,840.511976,582.902533,0,Benign,normal,train,5,45,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.4,39810,22,TCP,0.574688,0.013,9230.769231,1072153.846154,0.0,0.0,120,13938,116.15,161.750425,0,Benign,normal,train,5,46,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.0,26715,21,TCP,0.575601,0.865,101.734104,6491.32948,17.0,48.786991,88,5615,63.806818,0.0,0,Benign,normal,train,5,47,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.1,30133,21,TCP,0.579081,0.413,135.59322,8588.377724,12.0,27.487335,56,3547,63.339286,0.0,0,Benign,normal,train,5,48,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.0,3012,25,TCP,0.080949,0.021,4380.952381,1927142.857143,0.0,0.0,92,40470,439.891304,525.679594,0,Benign,normal,train,5,49,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.4,48414,27509,TCP,0.034602,0.222,90.09009,41657.657658,35.6,63.005079,20,9248,462.4,552.200371,0,Benign,normal,train,5,50,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.1,4353,5190,TCP,0.546778,0.274,167.883212,16540.145985,11.521739,19.534517,46,4532,98.521739,93.869233,0,Benign,normal,train,5,51,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.9,34317,10397,TCP,0.034602,0.062,322.580645,149161.290323,9.6,19.517684,20,9248,462.4,552.200371,0,Benign,normal,train,5,52,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.2,42256,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,53,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.5,25217,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,5,54,0,,,NF-UNSW-NB15-v3-Benign
