src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.1,149.171.126.5,1908,64441,UDP,0.368932,0.001,8000.0,824000.0,0.0,0.0,8,824,103.0,55.425626,0,Benign,normal,train,7,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.4,10646,111,UDP,0.354545,0.004,2000.0,220000.0,1.0,1.0,8,880,110.0,64.0,0,Benign,normal,train,7,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.7,30748,56868,TCP,0.926144,0.041,2780.487805,1119512.195122,0.0,1.0,114,45900,402.631579,520.76928,0,Benign,normal,train,7,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.5,1996,52731,UDP,0.368932,0.001,8000.0,824000.0,0.0,0.0,8,824,103.0,55.425626,0,Benign,normal,train,7,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.6,31221,21,TCP,0.583417,0.15,320.0,20020.0,4.479167,13.006392,48,3003,62.5625,0.0,0,Benign,normal,train,7,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.3,58479,64588,TCP,0.911101,0.014,6428.571429,2222428.571429,0.0,0.0,90,31114,345.711111,500.96635,0,Benign,normal,train,7,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.4,3749,111,UDP,0.36036,0.005,1600.0,177600.0,1.0,1.0,8,888,111.0,64.0,0,Benign,normal,train,7,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.7,35448,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,7,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.0,31896,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,7,8,0,,,NF-UNSW-NB15-v3-Benign
149.171.126.8,59.166.0.5,80,24156,TCP,0.016975,3.904,149.590164,149088.114754,16.421233,28.607355,584,582040,996.643836,568.614324,0,Benign,normal,train,7,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.3,37719,6881,TCP,0.516332,0.24,141.666667,13266.666667,14.058824,24.654007,34,3184,93.647059,103.100717,0,Benign,normal,train,7,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.2,12354,21,TCP,0.583417,0.01,4800.0,300300.0,0.0,0.0,48,3003,62.5625,0.0,0,Benign,normal,train,7,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.4,31216,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,normal,train,7,12,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.0,13768,44161,TCP,0.914046,0.039,2820.512821,985025.641026,0.0,1.0,110,38416,349.236364,494.831309,0,Benign,normal,train,7,13,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.0,16741,21,TCP,0.60057,0.054,518.518519,32500.0,2.0,6.554715,28,1755,62.678571,0.0,0,Benign,normal,train,7,14,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.5,48589,52579,TCP,0.954152,0.414,48.309179,22338.164251,50.2,88.328704,20,9248,462.4,552.200371,0,Benign,normal,train,7,15,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.6,33738,26151,TCP,0.939044,0.032,4562.5,2172687.5,0.0,0.0,146,69526,476.205479,566.067013,0,Benign,normal,train,7,16,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.6,30126,28748,TCP,0.417118,0.373,155.495979,19796.246649,12.517241,17.007343,58,7384,127.310345,141.688946,0,Benign,normal,train,7,17,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.1,29590,6881,TCP,0.516332,0.018,1888.888889,176888.888889,0.529412,1.117647,34,3184,93.647059,103.100717,0,Benign,normal,train,7,18,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.2,1590,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,7,19,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.9,64605,35867,UDP,0.368932,0.001,8000.0,824000.0,0.0,0.0,8,824,103.0,55.425626,0,Benign,normal,train,7,20,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.2,61755,21,TCP,0.600114,0.005,5600.0,350600.0,0.0,0.0,28,1753,62.607143,0.0,0,Benign,normal,train,7,21,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.8,32798,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,7,22,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.1,27120,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,normal,train,7,23,0,,,NF-UNSW-NB15-v3-Benign
