window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,27,3.421131321828871,22,3.4152324305639583
1,28,3.4249207664130927,25,3.4168531047978545
2,24,3.4291022715284334,21,3.4205285201773004
3,24,3.405682217586743,22,3.4020692580206595
4,25,3.425852353416826,24,3.42096131936462
5,28,3.4524755168761248,22,3.4388032161901534
6,27,3.4300983746021556,21,3.419805645563195
7,36,3.804203933924958,24,3.6053931564941837
8,34,3.592779733058589,24,3.5203145152585504
9,26,3.4352113913390054,24,3.4279953619531964
10,28,3.4437372541709506,25,3.4355668036841016
11,33,3.778272829708407,21,3.5971386994851535
12,37,3.7769577044597877,24,3.59741007594105
13,27,3.4329301437959328,22,3.42269639115297
14,23,3.403861778935476,19,3.397060378403362
