window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,35,3.5133372356035686,26,3.4806818280919023
1,36,3.922604611675309,22,3.6166856428521883
2,23,3.4279609316293365,22,3.4220192898168387
3,37,3.8113910437505245,27,3.622669790580776
4,24,3.4362184624556136,23,3.4279258069199465
5,24,3.4260688457109394,21,3.4172751638967216
6,26,3.4317761803744213,19,3.421374688196178
7,24,3.4390965067700074,22,3.430282589211378
8,27,3.4260123577417154,20,3.4145479533533623
9,35,4.062656536026605,24,3.6288843435800313
10,23,3.4214805861627706,24,3.4191717693991164
11,24,3.4197778155687053,21,3.4106450288786276
12,26,3.4330336458907054,24,3.424223860807586
13,27,3.433282546196593,23,3.4273766993705004
14,22,3.4184260213227735,19,3.412543801118171
