window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,27,3.4337059586512284,23,3.425829828199664
1,35,4.035035537073021,24,3.6236326531297762
2,30,3.434200178540353,23,3.4241967637576063
3,25,3.4349635726694214,23,3.4289000787381076
4,26,3.4318384445029837,20,3.421865503356118
5,26,3.426715268009608,24,3.420628731728196
6,26,3.4261148947662763,22,3.4175395064334464
7,24,3.418976644761229,25,3.4131735864137087
8,29,3.4436197405928684,27,3.4357803566000062
9,26,3.4258277310419047,23,3.420443519253711
10,25,3.428624622361408,21,3.4179813458999466
11,23,3.41998870166788,22,3.413740746520065
12,25,3.420286490996961,22,3.4131303632182255
13,39,4.002746545902151,23,3.634057216044897
14,34,3.5663705723920307,26,3.5023126919497045
