window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,24,3.4237047742165747,22,3.418008532354552
1,20,3.4337536191172977,17,3.420971044004893
2,21,3.4277841989454387,20,3.418981369241514
3,21,3.4413798821127193,20,3.430510022857033
4,21,3.427861177453058,19,3.418069163662649
5,21,3.4252986424466974,19,3.417603036686085
6,21,3.4106662354394683,21,3.4063600625240973
7,21,3.422233426328642,18,3.416054524504
8,20,3.437095293274377,19,3.4248296613697176
9,21,3.4249734115126156,21,3.4204673189105606
10,24,3.436005968985459,21,3.4261018651683606
11,21,3.4248947297666663,20,3.4177044901244913
12,22,3.415274926551074,22,3.414748971849777
13,21,3.4319163739305387,22,3.4255386706683706
14,20,3.408675795363818,17,3.4004250670411102
