window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,17,3.423869374469206,16,3.4206579859229693
1,15,3.3867812639357133,14,3.383719145738457
2,19,3.4378049835287414,18,3.4291104977098508
3,19,3.4209290420771707,17,3.418126413079095
4,18,3.437701580667546,17,3.4288308460939265
5,16,3.4271778831036928,14,3.4180346809307243
6,19,3.425889866235031,16,3.4179379524982503
7,19,3.439747696665103,17,3.423230361527
8,17,3.4073682871462356,16,3.4122741006425734
9,14,3.381845139385239,14,3.3828453741219784
10,17,3.4213439900630815,16,3.412293078778606
11,18,3.406012619452753,15,3.3993784474386883
12,18,3.475619396501239,15,3.4581645618024393
13,15,3.3670384372977042,14,3.361857903026117
14,17,3.4124078641809943,14,3.4022134637164356
