window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,16,3.393230511377988,15,3.3978312794863745
1,16,3.4207845540200803,14,3.4090816362302117
2,15,3.4181701873479926,13,3.4072414159170283
3,18,3.427254018972401,16,3.4181404626529672
4,12,3.347694897998788,13,3.351324609515348
5,13,3.3556067549396684,14,3.345179390075793
6,17,3.4126794165651426,16,3.4189347552461626
7,18,3.4467638178611604,17,3.442263095866337
8,16,3.4197894979972903,14,3.409116338803207
9,14,3.378583634346581,14,3.3815782927947216
10,17,3.3967310348742012,17,3.4044033535299834
11,17,3.401847900512427,16,3.389001093879659
12,17,3.418600961610556,17,3.415781297520729
13,15,3.4024473360924583,16,3.4143798927227094
14,16,3.390297975243005,15,3.39398248983725
