window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size
0,13,3.3713419324891927,13,3.368526823880733,0.1212484993997599,0.24740211476589238,8.548731250529332,6.861109085603006,0.6563983769507803,5.054468114629902
1,17,3.4139428592735364,15,3.4079381174866312,0.11164465786314526,0.27069829354223207,8.465609856167013,6.660294480045614,0.6287730516206483,5.0190498994393735
2,15,3.3940082061438837,14,3.3782457994433526,0.12364945978391356,0.22620242878643587,8.442826800028921,6.923638086202481,0.6454731260504202,5.009992445641914
3,15,3.3880484568647535,14,3.389213973072086,0.10804321728691477,0.2712707999923656,8.555228968826913,6.825144820374862,0.6384833205282113,5.0428225323733855
4,15,3.387753920184195,14,3.3922292859125207,0.11164465786314526,0.2444106604135043,8.456260890713615,6.806254750172731,0.6440230396158463,5.0129886246434605
5,19,3.4025142436653075,16,3.400191783329271,0.1092436974789916,0.23761815044581833,8.514918537812086,6.860664154874164,0.6452965954381753,5.027565373277308
6,14,3.3829282472527664,15,3.3879955975095815,0.12004801920768307,0.22593099866853555,8.577422836418938,6.905603556763347,0.6353214693877551,5.088714048382846
7,16,3.424997673944744,15,3.414592463154292,0.11524609843937575,0.24525540975938687,8.462203563857573,6.837937106642293,0.6332378019207683,5.01920801988397
8,18,3.434853123063938,19,3.4382696887093664,0.11404561824729892,0.22870562358252478,8.55767462784954,6.800422956452029,0.6275810804321729,5.068969460426967
9,16,3.412707202598672,15,3.4170555423456253,0.11284513805522209,0.22019347722397878,8.441566441118221,6.933742917114662,0.6457385762304921,5.013024085269073
10,15,3.3723472429861707,14,3.3782312879541183,0.11884753901560624,0.21196361264911845,8.464937557268001,6.8919505114914665,0.6381274717887155,5.046940490431247
11,16,3.390576434345991,15,3.3897756860907364,0.1092436974789916,0.22827653098890563,8.479890913215565,6.908835699236251,0.6431477346938775,5.035876911071728
12,16,3.4094212888238187,15,3.397875291374459,0.12484993997599039,0.24183770256946402,8.481046890711117,6.831174193379833,0.6399587755102041,5.057927533483956
13,18,3.4325435123029155,16,3.421212362943181,0.10804321728691477,0.24553442791865612,8.58311319561892,6.909916961768695,0.6476494801920769,5.0737485501849635
14,17,3.4107060530553723,15,3.4016786149987377,0.11813842482100238,0.23602557926684278,8.556642821507872,6.774085133596413,0.6349829821002386,5.057336775353723
