src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.7,149.171.126.5,59638,80,TCP,0.857914,2.433,13.152487,4871.35224,166.75,543.957949,32,11852,370.375,457.924048,0,Benign,attack,train,8,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.4,14862,12748,TCP,0.93451,0.085,1576.470588,705270.588235,1.0,2.0,134,59948,447.373134,534.867101,0,Benign,attack,train,8,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.9,41886,30639,TCP,0.954152,0.31,64.516129,29832.258065,37.6,65.296554,20,9248,462.4,552.200371,0,Benign,attack,train,8,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.8,59087,80,TCP,0.857914,1.105,28.959276,10725.791855,75.25,251.511804,32,11852,370.375,457.924048,0,Benign,attack,train,8,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.9,19191,37132,TCP,0.875174,0.011,6727.272727,1699818.181818,0.0,0.0,74,18698,252.675676,420.166387,0,Benign,attack,train,8,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.4,20178,49146,TCP,0.045338,0.177,124.293785,52836.158192,20.636364,56.308844,22,9352,425.090909,536.660935,0,Benign,attack,train,8,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.4,61803,22095,TCP,0.933168,0.026,5153.846154,2259384.615385,0.0,0.0,134,58744,438.38806,534.867101,0,Benign,attack,train,8,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.9,10408,111,UDP,0.354545,0.004,2000.0,220000.0,1.0,1.0,8,880,110.0,64.0,0,Benign,attack,train,8,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.2,54501,21,TCP,0.609261,0.057,350.877193,21596.491228,7.45,11.011244,20,1231,61.55,0.0,0,Benign,attack,train,8,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.2,46123,21,TCP,0.60057,0.053,528.301887,33113.207547,2.0,6.554715,28,1755,62.678571,0.0,0,Benign,attack,train,8,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.4,7581,80,TCP,0.857914,1.186,26.98145,9993.254637,81.375,260.121937,32,11852,370.375,457.924048,0,Benign,attack,train,8,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.4,2594,32081,TCP,0.931929,0.03,4333.333333,1863733.333333,0.0,0.0,130,55912,430.092308,535.939666,0,Benign,attack,train,8,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.9,29261,21,TCP,0.642466,0.342,35.087719,2134.502924,46.083333,85.874383,12,730,60.833333,0.0,0,Benign,attack,train,8,12,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.6,31287,21,TCP,0.588423,0.663,60.331825,3778.280543,35.475,63.001979,40,2505,62.625,0.0,0,Benign,attack,train,8,13,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.3,52211,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,8,14,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.9,62523,21,TCP,0.60057,0.605,46.280992,2900.826446,38.857143,74.368395,28,1755,62.678571,0.0,0,Benign,attack,train,8,15,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.6,6723,80,TCP,0.865509,1.243,24.135157,9451.327434,96.0,267.843238,30,11748,391.6,466.754754,0,Benign,attack,train,8,16,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.5,52506,21,TCP,0.580273,1.271,53.50118,3405.979544,33.485294,91.504901,68,4329,63.661765,0.0,0,Benign,attack,train,8,17,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.0,9656,32547,TCP,0.862779,0.047,297.87234,49617.021277,7.714286,17.235464,14,2332,166.571429,246.348683,0,Benign,attack,train,8,18,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.0,41472,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,8,19,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.0,14001,12724,TCP,0.380435,0.36,161.111111,22488.888889,12.517241,21.005944,58,8096,139.586207,223.973998,0,Benign,attack,train,8,20,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.1,42185,4251,TCP,0.910819,0.014,6428.571429,2202571.428571,0.0,0.0,90,30836,342.622222,485.337324,0,Benign,attack,train,8,21,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.6,61250,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,attack,train,8,22,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.2,7458,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,8,23,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.7,49833,5190,TCP,0.540338,0.112,321.428571,28553.571429,6.833333,13.987097,36,3198,88.833333,77.328225,0,Benign,attack,train,8,24,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.7,28286,21,TCP,0.588423,2.515,15.904573,996.023857,106.8,211.275555,40,2505,62.625,0.0,0,Benign,attack,train,8,25,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.5,54292,21,TCP,0.588423,0.387,103.359173,6472.868217,16.95,28.028512,40,2505,62.625,0.0,0,Benign,attack,train,8,26,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.9,19849,17741,TCP,0.913481,0.023,4260.869565,1494521.73913,0.0,0.0,98,34374,350.755102,491.046386,0,Benign,attack,train,8,27,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.4,56630,53,UDP,0.549383,0.001,4000.0,324000.0,0.0,0.0,4,324,81.0,0.0,0,Benign,attack,train,8,28,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.4,45460,42265,TCP,0.954152,0.222,90.09009,41657.657658,26.6,54.488898,20,9248,462.4,552.200371,0,Benign,attack,train,8,29,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.5,20017,6881,TCP,0.96735,0.072,2333.333333,1686222.222222,0.642857,1.10887,168,121408,722.666667,581.835564,0,Benign,attack,train,8,30,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.7,53625,53,UDP,0.554795,0.001,4000.0,292000.0,0.0,0.0,4,292,73.0,0.0,0,Benign,attack,train,8,31,0,,,NF-UNSW-NB15-v3-Benign
