window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,20,3.409963636124335,18,3.4056220640236954
1,26,3.450641573736229,22,3.4403744998149204
2,31,4.296025795334772,22,3.4830038725176666
3,20,3.40690969480464,17,3.398675489282308
4,25,3.452845579076568,21,3.4419633450275287
5,22,3.40495464195517,21,3.4011225149620357
6,22,3.4386195182631223,21,3.436097692313228
7,22,3.425906077502173,19,3.417867843368598
8,24,3.4408464423286897,20,3.429466599863675
9,20,3.4161886874227463,16,3.408793021972321
10,22,3.4187363709490812,20,3.4130602868865765
11,24,3.4288599103994404,21,3.4236068464920173
12,21,3.408318480352705,18,3.4028251592413477
13,22,3.4350293588265606,20,3.428007738414941
14,21,3.4121843114262806,20,3.4045277527271773
