window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,23,3.433946435365525,21,3.4313800997182926
1,31,3.560870915251896,20,3.4977542397534602
2,29,4.173455755397266,18,3.5698756129479032
3,24,3.4203799893742923,19,3.412584232086269
4,21,3.426600249211653,19,3.4224773240498836
5,21,3.4237255840586474,19,3.418137661712411
6,34,3.5248103514540707,24,3.492720190348286
7,33,3.994924613714402,24,3.652570226640392
8,21,3.4363941415306716,20,3.4283801223071952
9,20,3.429515603504414,20,3.4233631455290277
10,22,3.431909981635501,19,3.4214918032853245
11,21,3.416175029480786,18,3.408003501119205
12,23,3.4245731914049466,19,3.4156862788239017
13,20,3.433604821940508,16,3.4213167515088982
14,21,3.4417909938474875,20,3.4357868057663414
