window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,13,3.382490926755194,13,3.381040158050186
1,15,3.3995940426629345,15,3.3961981272018
2,16,3.4038996890800433,14,3.4101271212626143
3,15,3.3841979914526923,13,3.374640274114058
4,16,3.412345838085961,16,3.4008326102986945
5,18,3.450042409568728,17,3.441554134829102
6,17,3.423301465022529,16,3.417155800037663
7,15,3.387315825930328,15,3.388912014990346
8,15,3.4049718668461053,14,3.397980712076752
9,17,3.39039894628482,17,3.395149015682815
10,14,3.3709612724889295,12,3.3534530461668908
11,16,3.4211003481817244,15,3.410744243033919
12,19,3.465248661350136,17,3.4594545755228183
13,15,3.38495878388564,14,3.376578067463099
14,16,3.3988792447690437,15,3.396123232214552
