window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip
0,17,3.4092218386274924,15,3.3932921069119457
1,16,3.408743308367739,14,3.395864812960338
2,21,3.4465436263425007,18,3.436404452517918
3,19,3.4590050082752324,18,3.447127471472619
4,16,3.375128420855661,15,3.3748615030210516
5,18,3.435326799708985,15,3.423415018722395
6,19,3.4131185684010985,18,3.4099856055995277
7,28,3.8960282899862784,17,3.6340244047891215
8,30,3.968313462469548,20,3.629435131298901
9,18,3.4448774655936876,16,3.432927797991566
10,18,3.3961260514026277,19,3.4018625200501296
11,20,3.4411015712290416,17,3.4346965096063045
12,19,3.438556144194174,17,3.4294602130172978
13,19,3.4093605705204575,17,3.405518643439317
14,20,3.420448691086736,17,3.4118124078693013
